City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
59,Ilulissat,69.2167,-51.1,35.62,80,75,2.3,GL,2022-09-30 18:15:00
60,Hegang,47.4,130.3667,44.96,86,98,12.37,CN,2022-09-30 18:15:02
61,Raudeberg,61.9875,5.1352,56.86,45,98,7.23,NO,2022-09-30 18:15:03
62,Shenjiamen,29.9576,122.298,76.57,92,3,14.23,CN,2022-09-30 18:15:03
63,Vaini,-21.2,-175.2,71.76,83,20,8.05,TO,2022-09-30 18:15:04
64,Umm Lajj,25.0213,37.2685,87.3,49,0,5.35,SA,2022-09-30 18:15:04
65,Biloela,-24.4167,150.5,56.97,70,60,2.98,AU,2022-09-30 18:15:05
66,Alghero,40.5589,8.3181,60.89,100,40,3.44,IT,2022-09-30 18:15:05
67,Vao,-22.6667,167.4833,71.26,82,86,15.86,NC,2022-09-30 18:15:06
68,Thompson,55.7435,-97.8558,41.16,56,75,4.61,CA,2022-09-30 18:14:14
69,Bilma,18.6853,12.9164,96.08,23,43,8.48,NE,2022-09-30 18:15:08
70,Manggar,-2.8833,108.2667,79.83,81,37,3.04,ID,2022-09-30 18:15:08
71,Urumqi,43.801,87.6005,34.75,81,100,6.71,CN,2022-09-30 18:12:01
72,Sinnamary,5.3833,-52.95,86.11,61,12,13.67,GF,2022-09-30 18:15:09
73,Faanui,-16.4833,-151.75,77.47,72,0,11.01,PF,2022-09-30 18:15:09
74,Bara,10.3744,10.7288,78.01,78,92,6.11,NG,2022-09-30 18:15:10
75,Yibin,28.7667,104.6238,75.04,77,91,1.39,CN,2022-09-30 18:13:10
76,Arraial Do Cabo,-22.9661,-42.0278,71.56,64,75,11.5,BR,2022-09-30 18:15:10
77,Pacific Grove,36.6177,-121.9166,76.39,87,20,7.0,US,2022-09-30 18:12:07
78,Darhan,49.4867,105.9228,37.6,87,99,13.87,MN,2022-09-30 18:15:11
79,Pisco,-13.7,-76.2167,67.01,68,0,10.36,PE,2022-09-30 18:15:12
80,Guerrero Negro,27.9769,-114.0611,77.0,65,2,10.0,MX,2022-09-30 18:13:25
81,Longyearbyen,78.2186,15.6401,39.04,93,100,3.44,SJ,2022-09-30 18:15:13
82,Takoradi,4.8845,-1.7554,77.32,84,46,10.2,GH,2022-09-30 18:15:13
83,Torbay,47.6666,-52.7314,60.89,71,40,6.91,CA,2022-09-30 18:15:14
84,Nikolskoye,59.7035,30.7861,46.8,96,89,5.73,RU,2022-09-30 18:15:14
85,Lebu,-37.6167,-73.65,56.82,76,100,13.51,CL,2022-09-30 18:15:15
86,Noumea,-22.2763,166.4572,67.98,85,97,8.77,NC,2022-09-30 18:14:16
87,Busselton,-33.65,115.3333,54.01,79,6,9.08,AU,2022-09-30 18:15:16
88,Maniitsoq,65.4167,-52.9,34.65,81,96,0.56,GL,2022-09-30 18:15:16
89,Qaanaaq,77.484,-69.3632,19.9,68,93,11.63,GL,2022-09-30 18:15:16
90,Zunyi,27.6867,106.9072,68.0,87,16,3.04,CN,2022-09-30 18:16:17
91,Hermanus,-34.4187,19.2345,57.79,84,66,10.4,ZA,2022-09-30 18:16:19
92,Carutapera,-1.195,-46.02,86.13,61,67,11.81,BR,2022-09-30 18:16:19
93,Vardo,70.3705,31.1107,42.78,75,75,17.27,NO,2022-09-30 18:16:19
94,Walvis Bay,-22.9575,14.5053,57.09,81,8,10.47,NA,2022-09-30 18:16:20
95,Tasiilaq,65.6145,-37.6368,42.96,75,100,4.79,GL,2022-09-30 18:16:20
96,Yumbel,-37.0833,-72.5667,66.43,42,98,6.06,CL,2022-09-30 18:16:21
97,Khatanga,71.9667,102.5,28.76,95,100,11.5,RU,2022-09-30 18:16:21
98,Bambous Virieux,-20.3428,57.7575,70.05,78,40,4.61,MU,2022-09-30 18:16:22
99,Butaritari,3.0707,172.7902,80.92,78,86,15.88,KI,2022-09-30 18:15:25
100,Lata,40.1629,-8.3327,64.92,62,74,5.21,PT,2022-09-30 18:16:22
101,Esperance,-33.8667,121.9,50.11,86,39,10.51,AU,2022-09-30 18:16:23
102,Yellowknife,62.456,-114.3525,50.56,76,20,24.16,CA,2022-09-30 18:15:52
103,Constantine,36.365,6.6147,67.41,63,40,11.5,DZ,2022-09-30 18:16:23
104,Chuy,-33.6971,-53.4616,60.08,68,95,7.58,UY,2022-09-30 18:16:24
105,Fairbanks,64.8378,-147.7164,44.82,85,75,4.61,US,2022-09-30 18:15:02
