,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
325,Ardakan,IR,81.1,clear sky,32.31,54.0175,Ardakan Hotel
326,Dingle,PH,76.42,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
334,Sakakah,SA,89.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
337,Touros,BR,83.46,few clouds,-5.1989,-35.4608,INN NEW HORIZON
338,Kismayo,SO,76.55,clear sky,-0.3582,42.5454,Agan-Hotel
340,Kumluca,TR,84.81,clear sky,36.3703,30.2869,Akkol Apart
342,Sompeta,IN,80.19,scattered clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
344,Korhogo,CI,81.95,broken clouds,9.45,-5.6333,Hôtel Tchinbota
350,Axim,GH,77.77,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
353,Pindi Gheb,PK,86.4,clear sky,33.2402,72.2661,Mohallah Masjid Ghulam shah
359,Hambantota,LK,79.75,overcast clouds,6.1241,81.1185,Bungalow 63
366,Carapegua,PY,80.08,clear sky,-25.8,-57.2333,Maria Celia La Posada
372,Dharmadam,IN,76.39,overcast clouds,11.7833,75.4333,Samudra Homes
379,Sur,OM,82.56,clear sky,22.5667,59.5289,Sur Plaza Hotel
384,Quelimane,MZ,76.95,clear sky,-17.8786,36.8883,Hotel Flamingo
385,Namwala,ZM,81.81,clear sky,-15.7504,26.4384,Corner Point Lodge
387,Cockburn Town,TC,82.83,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
390,Turbat,PK,81.57,clear sky,26.0023,63.044,Mubashar Quarters
392,Takoradi,GH,77.49,light rain,4.8845,-1.7554,Raybow International Hotel
393,Lokoja,NG,80.82,light rain,7.8024,6.743,Hotel Charvid
396,Pinillos,CO,89.29,overcast clouds,8.9193,-74.4677,HOTEL CASA BLANCA
402,Marsh Harbour,BS,82.8,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
403,Gunjur,GM,87.87,broken clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
404,General Pico,AR,81.88,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
406,Palmas Bellas,PA,82.26,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
407,Dutse,NG,87.46,clear sky,11.7594,9.3392,Kaci
408,Achalpur,IN,76.03,clear sky,21.2572,77.5086,Sachin pandey
409,Kudahuvadhoo,MV,82.62,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
413,Ilebo,CD,75.76,light rain,-4.3167,20.5833,Hôtel BUMAK
414,High Rock,BS,84.22,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
419,Dibulla,CO,85.42,broken clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
